loan_id,applicant_name,pan_number,age,gender,city,state,education,employment_status,months_employed,annual_income_inr,annual_income_stated_inr,property_ownership,loan_id_duplicate,loan_amount_inr,loan_purpose,loan_grade,interest_rate,loan_term_months,application_date,credit_score,num_credit_lines,num_open_accounts,num_late_payments,dti_ratio,bankruptcies,loan_to_income_ratio,default_status,default_label
LN1000568,Mohan Singh,WGDXH9603X,43,Male,Srinagar,Jammu & Kashmir,10th Pass,Contract/Freelance,63,1057343,629756,Mortgaged,LN1000568,422047,Agriculture,G,15.27,36,2020-11-12,500,6,13,1,41.69,0,0.3992,1,Default
LN1000569,Shreya Agarwal,ZEZNZ7717M,32,Female,Mumbai,Maharashtra,Diploma,Government Employee,43,446185,549404,Rented,LN1000569,892877,Business Expansion,E,9.5,48,2021-04-29,621,10,14,0,9.17,1,2.0011,1,Default
LN1000570,Pradeep Jain,YGQPF4326Y,35,Male,Meerut,Uttar Pradesh,Professional Degree,Contract/Freelance,20,309326,337395,Company Provided,LN1000570,330016,Consumer Durables,E,9.49,48,2024-11-05,651,18,5,0,24.19,0,1.0669,0,No Default
LN1000571,Smita Chatterjee,KLSLD4448F,21,Female,Chennai,Tamil Nadu,10th Pass,Retired,15,369716,439291,Mortgaged,LN1000571,143684,Credit Card Payoff,B,12,84,28/11/2020,784,10,3,,41.17,0,0.3886,0,No Default
LN1000572,Yash Das,EMSQA1136C,32,Male,Hyderabad,Telangana,10th Pass,,3,,706571,Mortgaged,LN1000572,1623516,Debt Consolidation,D,11.84,48,2024-06-26,676,6,11,0,41.16,0,2.2586,1,Default
LN1000573,Mamta Tiwari,DLLQK7170D,34,Female,Meerut,Uttar Pradesh,Illiterate,Government Employee,136,311553,255189,Mortgaged,LN1000573,260710,Agriculture,E,15.12,36,2024-07-18,632,6,8,1,53.22,0,0.8368,1,Default
LN1000574,Vikas Kulkarni,JAVTQ0201U,61,Male,Agra,Uttar Pradesh,Graduate,Salaried,32,282203,306935,Mortgaged,LN1000574,404792,Agriculture,C,11.25,48,2020-12-28,716,15,1,1,32.83,0,1.4344,0,No Default
LN1000575,Jitendra Menon,PUAUO8801Y,23,Male,Varanasi,Uttar Pradesh,Graduate,Part-Time,4,387347,420592,Own,LN1000575,813584,Medical Emergency,G,13.71,60,2024-12-10,473,4,1,0,41.09,0,2.1004,1,Default
LN1000576,Amit Malhotra,OLEIE0661B,49,Male,Coimbatore,Tamil Nadu,Illiterate,,97,218343,226940,Mortgaged,LN1000576,236582,Business Expansion,E,12.28,48,2022-04-24,668,16,14,2,35.25,2,1.0835,1,Default
LN1000577,Lalit Mehta,CHNVD9041U,44,Male,Bhopal,Madhya Pradesh,10th Pass,Unemployed,15,1318923,1454487,Mortgaged,LN1000577,178883,Business Expansion,C,8,36,2020-02-20,711,8,6,1,20.2,0,0.1356,0,No Default
LN1000578,Meera Verma,HXRRS9492J,37,Female,Thane,Maharashtra,Professional Degree,Part-Time,10,314948,311280,Rented,LN1000578,432620,Consumer Durables,G,8.61,36,2021-01-02,,7,1,0,1.16,0,1.3736,1,Default
LN1000579,Bhavya Chaudhary,JQDYX8615T,52,Female,Aurangabad,Maharashtra,Diploma,Part-Time,15,728665,794150,Own,LN1000579,103243,Consumer Durables,C,12.3,60,2024-02-17,741,19,4,1,41.47,2,0.1417,1,Default
LN1000580,Chitra Desai,ELXRQ2824L,38,Female,Patna,Bihar,12th Pass,Unemployed,39,501662,567036,Parental Home,LN1000580,296103,Home Renovation,D,11.12,12,2021-11-11,677,17,6,1,37.61,0,0.5902,1,Default
LN1000581,Chitra Ghosh,YVSBA9163M,38,Female,Faridabad,Haryana,Professional Degree,Self-Employed,3,245065,321362,Company Provided,LN1000581,429994,,F,12.52,36,2024-05-21,616,13,1,3,25.73,0,1.7546,1,Default
LN1000582,Meenakshi Shukla,LUZVC4713E,34,Female,Aurangabad,Maharashtra,Professional Degree,Retired,31,440835,517921,Own,LN1000582,299848,Home Renovation,D,9.88,24,2022-04-23,700,15,13,3,,0,0.6802,0,No Default
LN1000583,Chetan Das,EKILS4738U,47,Male,Bengaluru,Karnataka,10th Pass,Salaried,,708143,619002,Company Provided,LN1000583,122956,Education Fees,A,10.59,72,2024/06/30,831,2,9,2,44.45,2,0.1736,1,Default
LN1000584,Yash Shinde,XJOOM5207Q,45,Male,Kolkata,West Bengal,Diploma,Contract/Freelance,10,395158,395768,Rented,LN1000584,1105628,Vehicle Purchase,E,11.66,24,2023-10-03,664,10,4,2,31.01,1,2.7979,1,Default
LN1000585,Ankita Bhosale,PSTSG0905E,28,Female,Rajkot,Gujarat,12th Pass,Salaried,19,905160,843320,Mortgaged,LN1000585,389444,Agriculture,E,13.13,60,2024-11-04,669,13,9,2,43.35,0,0.4302,0,No Default
LN1000586,Varun Mukherjee,XBJWW8218N,21,Male,Ludhiana,Punjab,Diploma,Part-Time,24,816603,1033528,Mortgaged,LN1000586,986389,Debt Consolidation,F,16.52,48,2024-02-14,613,18,9,1,62.96,1,1.2079,1,Default
LN1000587,Mohan Singh,GVBDZ7309L,32,Male,Surat,Gujarat,Post-Graduate,Self-Employed,42,76784900,757463,Own,LN1000587,301937,Wedding Expenses,F,12.79,48,2024-07-18,582,11,13,5,2.88,0,0.3932,0,No Default
LN1000588,Lokesh Joshi,BCPMP1112A,26,Male,Aurangabad,Maharashtra,12th Pass,Government Employee,120,335778,342629,Company Provided,LN1000588,195632,Business Expansion,C,9.95,60,2021-05-23,716,13,6,0,24.51,0,0.5826,0,No Default
LN1000589,Bharat Rao,OVDET7624K,34,Male,Varanasi,Uttar Pradesh,10th Pass,Retired,24,231444,241445,Mortgaged,LN1000589,437322,Credit Card Payoff,F,13.33,36,2021-06-30,581,19,13,0,31.86,0,1.8895,0,No Default
LN1000590,Akash Chaudhary,LQACB6611M,47,Male,Kolkata,West Bengal,Post-Graduate,Part-Time,3,306155,343020,Company Provided,LN1000590,311435,Home Renovation,E,14.33,36,2020-11-22,655,5,7,0,56.82,0,1.0172,1,Default
LN1000591,Jagdish Agarwal,VRWOV9574F,30,Male,Thane,Maharashtra,Graduate,Contract/Freelance,20,497695,438748,Mortgaged,LN1000591,158826,Personal Use,F,13.17,36,2024-05-31,611,3,13,6,10.45,0,0.3191,0,No Default
LN1000592,Bharat Tiwari,HCJYT4038R,34,Male,Varanasi,Uttar Pradesh,Post-Graduate,Self-Employed,10,613829,649667,Parental Home,LN1000592,1013427,  Vehicle Purchase  ,D,15.19,48,2023-12-07,688,19,1,0,64.04,0,1.651,1,Default
LN1000593,Nikhil Pillai,PCSMQ4303N,35,Male,Noida,Uttar Pradesh,Professional Degree,Salaried,50,150000,180118,Own,LN1000593,234312,Travel,D,14.88,72,2020-08-09,676,13,5,1,37.04,1,1.5621,1,Default
LN1000594,Girish Shinde,FCCPW0250T,43,Male,Chennai,Tamil Nadu,Graduate,Contract/Freelance,1,440264,444972,Mortgaged,LN1000594,99888,Business Expansion,C,11.91,72,2022-02-22,733,5,3,2,33.56,0,0.2269,0,No Default
LN1000595,Ajay Yadav,AXEFY2050Z,21,Male,Ghaziabad,Uttar Pradesh,12th Pass,Salaried,16,486432,649040,Parental Home,LN1000595,917782,Business Expansion,F,12.7,60,2024-11-21,609,12,10,0,32.03,0,1.8868,1,Default
LN1000596,Ajay Mishra,MBCIZ7953M,28,Male,Amritsar,Punjab,Graduate,Unemployed,37,374547,347339,Company Provided,LN1000596,254483,Vehicle Purchase,E,12.68,72,2020-03-20,628,14,10,2,28.46,0,0.6794,0,No Default
LN1000597,Sapna Das,SZSCK7181S,37,Female,Noida,Uttar Pradesh,Diploma,Contract/Freelance,15,960072,945009,Mortgaged,LN1000597,236693,Home Renovation,F,15.76,84,2024-10-24,571,6,13,0,50.72,0,0.2465,1,Default
LN1000598,Vijay Chatterjee,UMWAE6069H,47,Male,Hyderabad,Telangana,Graduate,Self-Employed,38,569815,670192,Own,LN1000598,105264,Consumer Durables,F,11.46,60,2022-08-21,614,9,6,1,18.97,0,0.1847,1,Default
LN1000599,Sapna Bhatt,WURTE9576Y,30,Female,Jaipur,Rajasthan,10th Pass,Contract/Freelance,,971032,1034059,Parental Home,LN1000599,1225254,Consumer Durables,D,13.76,36,2021-03-31,,17,4,2,40.18,0,1.2618,0,No Default
LN1000600,Siddharth Ghosh,IUIJW4873G,21,Male,Nashik,Maharashtra,Illiterate,Salaried,137,388645,398627,Own,LN1000600,-146878,Consumer Durables,D,10.01,36,2021-02-12,710,8,13,1,29.24,0,0.3779,0,No Default
LN1000601,Rohan Oberoi,ZPYOZ0073Z,41,Male,Thane,Maharashtra,Diploma,,16,776449,692664,Mortgaged,LN1000601,377344,Agriculture,F,10.73,72,2024-07-30,576,13,14,1,23.57,0,0.486,0,No Default
LN1000602,Dinesh Reddy,UCCIY1230F,28,Male,Delhi,Delhi,Graduate,Contract/Freelance,,1180017,1147594,Company Provided,LN1000602,686138,Debt Consolidation,C,15.42,60,2022-07-31,719,5,13,0,73.79,2,0.5815,1,Default
LN1000603,Rahul Srinivasan,SLZZT4999P,23,Male,Kochi,Kerala,Diploma,Retired,18,971907,1297111,Parental Home,LN1000603,486602,Education Fees,B,11.29,60,2021-12-17,758,17,9,0,41.29,0,0.5007,0,No Default
LN1000604,Akash Hegde,BWKWX1389L,28,Male,Patna,Bihar,Graduate,Government Employee,73,229742,254533,Company Provided,LN1000604,347403,Wedding Expenses,D,14.01,24,2021-09-17,683,3,7,2,44.2,0,1.5121,1,Default
LN1000605,Lakshmi Hegde,CKLWZ0907W,33,Female,Nagpur,Maharashtra,Post-Graduate,Part-Time,13,379949,435598,Mortgaged,LN1000605,110065,Business Expansion,A,12.5,24,2024-08-07,,6,14,1,52.07,0,0.2897,0,No Default
LN1000606,Pallavi Bhat,VAWHE3034C,28,Female,Chandigarh,Punjab,Post-Graduate,Unemployed,53,359655,347591,Mortgaged,LN1000606,205498,Vehicle Purchase,F,9.05,36,2024-06-16,588,14,4,2,13.68,0,0.5714,0,No Default
LN1000607,Lokesh Rao,JMNVC1193N,21,Male,Rajkot,Gujarat,Graduate,Retired,18,593357,646292,Rented,LN1000607,413106,Education Fees,G,17.19,24,2024-11-19,550,15,13,0,61.28,0,0.6962,1,Default
LN1000608,Lalit Bose,FIIZM7420E,43,Male,Jodhpur,Rajasthan,Post-Graduate,Retired,34,667845,680267,Company Provided,LN1000608,208767,Vehicle Purchase,G,9.98,72,2021-04-11,507,14,11,,0,0,0.3126,0,No Default
LN1000609,Anjali Chaudhary,YDFOZ7087P,47,Female,Jodhpur,Rajasthan,Post-Graduate,Self-Employed,53,267443,233456,Company Provided,LN1000609,417630,Wedding Expenses,B,10.5,24,2021-04-01,769,11,6,2,23.47,0,1.5616,1,Default
LN1000610,Dinesh Mishra,FFATK2112C,41,Male,Lucknow,Uttar Pradesh,Graduate,Self-Employed,42,460792,437686,Rented,LN1000610,583745,Travel,D,12.95,48,2020-02-18,702,11,2,2,28.11,0,1.2668,0,No Default
LN1000611,Aditi Jadhav,HSWNR2809K,23,Female,Jodhpur,Rajasthan,10th Pass,Government Employee,41,150000,147304,Mortgaged,LN1000611,710519,,E,14.61,24,2023-09-13,645,9,14,4,43.73,0,4.7368,1,Default
LN1000612,Kalpana Nanda,ZHFYM5794W,32,Female,Rajkot,Gujarat,12th Pass,Self-Employed,3,1050909,1444233,Own,LN1000612,153533,Consumer Durables,D,11.93,24,2021-01-30,672,6,3,0,,2,0.1461,1,Default
LN1000613,Roshni Srinivasan,OVOXF7516X,34,Female,Vadodara,Gujarat,Graduate,Self-Employed,13,325323,436132,Own,LN1000613,1685633,Medical Emergency,F,15.03,36,2022-03-27,559,15,11,4,32.5,0,5.1814,1,Default
LN1000614,Sandeep Mehta,TTIDL1819N,40,Male,Patna,Bihar,Post-Graduate,Part-Time,40,457493,370082,Company Provided,LN1000614,619851,Medical Emergency,A,11.29,84,2021-11-03,845,12,7,3,34.82,0,1.3549,1,Default
LN1000615,Abhishek Doshi,GSZYW6650X,41,Male,Ghaziabad,Uttar Pradesh,Post-Graduate,Government Employee,0,367401,343915,Rented,LN1000615,361783,Medical Emergency,E,9.75,60,2021-07-24,660,6,11,1,20.33,0,0.9847,1,Default
LN1000616,Aishwarya Tiwari,ZKOEJ3995A,27,Female,Coimbatore,Tamil Nadu,Illiterate,Contract/Freelance,13,879946,908711,Company Provided,LN1000616,776596,MEDICAL EMERGENCY,E,10.46,60,2024-11-05,658,1,12,1,12.54,0,0.8825,0,No Default
LN1000617,Zubin Dubey,JJHHV1494L,35,Male,Guwahati,Assam,12th Pass,Part-Time,12,150000,159593,Rented,LN1000617,1897002,Credit Card Payoff,D,13.54,72,2020-05-22,708,16,4,1,45.9,1,12.6467,1,Default
LN1000618,Tarun Mishra,JONTC1415R,39,Male,Kanpur,Uttar Pradesh,10th Pass,Contract/Freelance,13,438026,455663,Own,LN1000618,132309,Home Renovation,D,15.82,84,2024-05-02,688,15,14,4,45.41,0,0.3021,0,No Default
LN1000619,Pratik Patil,LHRRQ7990C,49,Male,Ludhiana,Punjab,10th Pass,,36,415197,555324,Mortgaged,LN1000619,309377,Credit Card Payoff,E,15.65,36,2021-07-25,667,2,12,3,58.77,0,0.7451,1,Default
LN1000620,Vikas Bhat,UCQQK4790O,42,Male,Mumbai,Maharashtra,Diploma,Self-Employed,41,336993,333340,Own,LN1000620,68534,Agriculture,F,12.46,36,2021-12-20,586,17,10,1,23.15,0,0.2034,0,No Default
LN1000621,Neha Bhat,NURWF7518D,42,Female,Bhubaneswar,Odisha,Post-Graduate,Government Employee,115,1246357,1660626,Parental Home,LN1000621,414511,Vehicle Purchase,D,12.18,36,2023-08-06,687,3,7,0,45.39,0,0.3326,0,No Default
LN1000622,Rupa Patel,JUMXQ7397Q,35,Female,Vadodara,Gujarat,12th Pass,Contract/Freelance,23,259783,312845,Company Provided,LN1000622,467790,Credit Card Payoff,A,11.29,12,2022-11-09,800,3,9,2,30.74,0,1.8007,1,Default
LN1000623,Gita Jadhav,HWGVU4294A,49,Female,Kanpur,Uttar Pradesh,Graduate,Retired,125,702975,738537,Rented,LN1000623,352422,Medical Emergency,B,16.22,36,2022-03-29,757,5,14,2,52.86,0,0.5013,0,No Default
LN1000624,Bhavya Bhatt,AUVNT3154R,39,Female,Bhopal,Madhya Pradesh,Professional Degree,Part-Time,50,547847,527747,Rented,LN1000624,229079,Agriculture,B,13.97,36,2023-10-23,777,17,13,1,50.33,2,0.4181,0,No Default
LN1000625,Rohan Mukherjee,ZFQVU5169F,26,Male,Surat,Gujarat,Post-Graduate,Self-Employed,117,943084,906356,Company Provided,LN1000625,86278,Business Expansion,F,14.22,12,2024-09-23,,17,5,2,38.17,0,0.0915,1,Default
LN1000626,Dinesh Rao,KIEGS1153Y,49,Male,Visakhapatnam,Andhra Pradesh,,Unemployed,86,296465,400642,Rented,LN1000626,470463,Debt Consolidation,F,16.39,72,2023-01-03,570,6,14,5,29.91,0,1.5869,1,Default
LN1000627,Manish Kulkarni,QGOYF0465A,41,Male,Kanpur,Uttar Pradesh,12th Pass,Unemployed,55,284992,332918,Parental Home,LN1000627,1003299,Personal Use,E,13.22,60,2021-11-09,639,1,1,0,49.41,0,3.5204,1,Default
LN1000628,Ajay Srinivasan,QOZOA7967F,30,M,Indore,Madhya Pradesh,,Unemployed,21,853961,942959,Company Provided,LN1000628,239494,Debt Consolidation,E,14.74,36,2020-02-26,654,7,5,2,,0,0.2805,0,No Default
LN1000629,Dev Khanna,GXHNG7776I,30,Male,Ghaziabad,Uttar Pradesh,Professional Degree,Part-Time,13,571027,417234,Parental Home,LN1000629,492890,Agriculture,C,9.49,60,2020-08-24,737,15,6,1,24.73,2,0.8632,1,Default
LN1000630,Sangita Srinivasan,CDAZW1911I,37,Female,Kochi,Kerala,,,12,175086,172604,Own,LN1000630,120849,Consumer Durables,G,10.38,60,2024-12-01,514,7,14,0,15.08,0,0.6902,0,No Default
LN1000631,Vikram Shah,XCMJV3400U,39,M,Mumbai,Maharashtra,Professional Degree,Part-Time,145,320109,321568,Company Provided,LN1000631,498844,Agriculture,B,11.7,36,2021-06-18,772,19,11,0,30.67,0,1.5584,0,No Default
LN1000632,Sonali Mukherjee,BRJIX8101S,36,Female,Bengaluru,Karnataka,Illiterate,Retired,152,557841,609524,Mortgaged,LN1000632,275029,Personal Use,E,16.32,60,2020-12-31,637,11,2,2,57.73,0,0.493,1,Default
LN1000633,Shreya Menon,QWDIJ9505I,38,Female,Patna,Bihar,10th Pass,Part-Time,61,731358,760229,Rented,LN1000633,212417,Credit Card Payoff,F,16.38,36,2023-04-04,615,14,8,1,52.2,0,0.2904,1,Default
LN1000634,Rahul Singh,YFAAN1812K,51,Male,Kolkata,West Bengal,Illiterate,Contract/Freelance,103,294331,295046,Own,LN1000634,212722,Vehicle Purchase,F,11.1,12,2021-06-27,569,13,13,1,18.32,0,0.7227,0,No Default
LN1000635,Jagdish More,DCRDH1076O,45,female,Coimbatore,Tamil Nadu,Diploma,Government Employee,120,150000,166244,Mortgaged,LN1000635,274985,Consumer Durables,G,13.44,36,2020-03-19,517,9,2,2,17.48,2,1.8332,1,Default
LN1000636,Alka Iyer,TMNKF1682M,36,Female,Jaipur,Rajasthan,Post-Graduate,Unemployed,34,605575,723614,Rented,LN1000636,473403,Education Fees,C,13.67,36,2020-08-10,715,9,14,0,,0,0.7817,0,No Default
LN1000637,Smita Iyer,CUPEF7445I,44,Female,Ghaziabad,Uttar Pradesh,12th Pass,Retired,47,212736,206457,Own,LN1000637,144565,Wedding Expenses,E,9.83,24,2023-05-06,655,16,9,0,17.97,0,0.6796,0,No Default
LN1000638,Nisha Shah,VQPLO3601B,24,Female,Ahmedabad,Gujarat,Professional Degree,Retired,26,150000,136723,Company Provided,LN1000638,274311,,G,16.89,36,2022-06-08,546,12,14,5,42.64,0,1.8287,1,Default
LN1000639,Kartik Yadav,YGKPW9531Z,38,Male,Agra,Uttar Pradesh,12th Pass,Salaried,,150000,146341,Mortgaged,LN1000639,351853,Education Fees,G,12.72,72,2021-12-08,546,10,13,1,25.76,0,2.3457,1,Default
LN1000640,Lokesh Agarwal,IUJBR3713A,53,Male,Agra,Uttar Pradesh,Illiterate,Salaried,1,720995,660411,Company Provided,LN1000640,167824,Vehicle Purchase,E,16.12,60,2024-02-01,623,6,2,2,59.26,1,0.2328,1,Default
LN1000641,Ravi Doshi,SFOIG0222R,32,Male,Bhopal,Madhya Pradesh,Professional Degree,Contract/Freelance,27,477906,487509,Mortgaged,LN1000641,1273991,Consumer Durables,B,8.31,60,2024-05-29,783,18,3,1,23.44,1,2.6658,1,Default
LN1000642,Pratik Joshi,HPWWB8473K,26,Male,Rajkot,Gujarat,Post-Graduate,Retired,53,38639100,525699,Mortgaged,LN1000642,199297,Debt Consolidation,E,15.39,60,2021-10-04,629,2,8,2,52.15,0,0.5158,1,Default
LN1000643,Aarav Khanna,FBMBH1465H,28,Male,Raipur,Chhattisgarh,10th Pass,Contract/Freelance,26,1018065,1027240,Mortgaged,LN1000643,226702,Medical Emergency,G,14.16,60,2022-06-12,529,9,11,1,-99,0,0.2227,0,No Default
LN1000644,Kalpana Nair,OHQWZ9284R,24,Female,Pune,Maharashtra,Professional Degree,Part-Time,98,648485,580342,Mortgaged,LN1000644,182623,Agriculture,E,15.98,12,2023-05-26,630,19,6,3,38.78,0,0.2816,0,No Default
LN1000645,Kartik Bhatt,XBQBC8727M,27,Male,Ludhiana,Punjab,Professional Degree,Salaried,19,1166805,1159415,Parental Home,LN1000645,1275611,Personal Use,E,8,72,2022-11-13,628,6,1,2,5.45,0,1.0933,1,Default
LN1000646,Kalpana Pawar,CUMBH9469L,31,Female,Bhubaneswar,Odisha,12th Pass,Government Employee,6,191828,248261,Own,LN1000646,533403,EDUCATION FEES,G,12.72,60,2020-08-24,434,2,4,2,1.96,0,2.7806,1,Default
LN1000647,Yogesh Agarwal,YCFVD9872C,21,Male,Agra,Uttar Pradesh,Graduate,Salaried,80,433336,441241,Parental Home,LN1000647,188035,Home Renovation,E,13.16,36,2022-02-27,645,15,5,1,31.69,0,0.4339,0,No Default
LN1000648,Dinesh Bhatt,EXJXZ9827D,35,Male,Ludhiana,Punjab,10th Pass,Contract/Freelance,53,167706,157430,Parental Home,LN1000648,785724,Personal Use,E,13.21,48,2023-03-26,631,17,14,0,38.7,0,4.6851,1,Default
LN1000649,Manish Banerjee,BHGRU3695D,44,Male,Coimbatore,Tamil Nadu,Graduate,,13,385528,308552,Parental Home,LN1000649,416853,Travel,D,9.97,48,2021-01-24,705,16,11,,18.12,2,1.0813,1,Default
LN1000650,Sandeep Chaudhary,DWTXZ4415S,25,Male,Vadodara,Gujarat,Diploma,Self-Employed,36,381105,384888,Mortgaged,LN1000650,433686,Credit Card Payoff,A,9.14,24,2021-06-05,797,8,3,3,18.67,0,1.138,1,Default
LN1000651,Jyoti Bhatt,MMHUM0773H,50,Female,Amritsar,Punjab,Post-Graduate,Government Employee,24,644331,542996,Mortgaged,LN1000651,284607,CREDIT CARD PAYOFF,C,13.98,36,2020-03-31,740,10,1,0,43.42,0,0.4417,0,No Default
LN1000652,Anil Shinde,RTFCZ0028G,40,Male,Delhi,Delhi,12th Pass,Part-Time,134,454675,496702,Rented,LN1000652,214359,Education Fees,E,16.18,12,2023-12-22,628,10,3,3,43.44,0,0.4715,0,No Default
LN1000653,Pallavi Patel,MIVTN3976Q,45,Female,Meerut,Uttar Pradesh,Diploma,,44,643092,641044,Company Provided,LN1000653,458830,Personal Use,F,12.76,60,2022-06-12,561,18,13,0,32.93,1,0.7135,1,Default
LN1000654,Simran Malhotra,CDXKL6240N,28,Female,Kanpur,Uttar Pradesh,10th Pass,Salaried,8,674727,503376,Company Provided,LN1000654,247320,Business Expansion,A,13.37,12,2020-01-04,855,10,9,3,46.7,0,0.3665,1,Default
LN1000655,Lakshmi Kapoor,EHWQD8728F,43,Female,Guwahati,Assam,10th Pass,Contract/Freelance,33,1611953,2110856,Own,LN1000655,1292034,Credit Card Payoff,E,10.12,36,2022-11-30,654,9,2,1,17.39,0,0.8015,0,No Default
LN1000656,Nitesh Chatterjee,GMNJD5323N,24,Male,Gurgaon,Haryana,Diploma,Contract/Freelance,95,366158,505533,Parental Home,LN1000656,148969,Agriculture,E,12.39,12,2024-07-09,651,19,1,1,29.66,0,0.4068,0,No Default
LN1000657,Varun Jadhav,NBHCQ7424T,43,F,Meerut,Uttar Pradesh,10th Pass,Government Employee,53,251547,276326,Company Provided,LN1000657,1061623,Home Renovation,E,17.34,60,2023-01-07,648,1,7,4,59.72,0,4.2204,1,Default
LN1000658,Amit Shinde,HPNCB2118S,36,Male,Mumbai,Maharashtra,Graduate,Contract/Freelance,,512804,661746,Company Provided,LN1000658,335063,Home Renovation,E,13.96,72,2023-11-07,665,4,13,3,36.02,1,0.6534,1,Default
LN1000659,Parth Pillai,GBCFQ7317W,40,Male,Lucknow,Uttar Pradesh,Professional Degree,Self-Employed,13,273383,299185,Parental Home,LN1000659,446573,Wedding Expenses,E,13.87,48,2024-01-13,638,3,7,2,36.89,2,1.6335,1,Default
LN1000660,Chitra Pawar,GFUJH5705W,23,female,Patna,Bihar,Professional Degree,Unemployed,105,1076447,826674,Mortgaged,LN1000660,649014,Wedding Expenses,F,19.69,24,2024-02-28,604,10,5,1,69.59,0,0.6029,0,No Default
LN1000661,Umesh Pillai,QTWRE6134A,26,Male,Lucknow,Uttar Pradesh,12th Pass,Retired,67,373274,381387,Own,LN1000661,233007,Personal Use,F,8.78,48,2024-02-18,606,12,2,0,14.01,0,0.6242,0,No Default
LN1000662,Kalpana Shinde,RLAZW1703P,40,Female,Faridabad,Haryana,Post-Graduate,Self-Employed,62,315102,304129,Company Provided,LN1000662,663294,Debt Consolidation,E,13.56,60,2023-10-05,647,18,14,0,46.95,0,2.105,1,Default
LN1000663,Neha Deshpande,PMGCV5985F,25,Female,Aurangabad,Maharashtra,10th Pass,Government Employee,20,,278571,Company Provided,LN1000663,54432,Business Expansion,F,16.66,60,2021-02-07,606,6,1,0,59.96,0,0.1632,1,Default
LN1000664,Disha Nanda,TUCUI4356I,39,Female,Hyderabad,Telangana,10th Pass,,104,680818,721837,Mortgaged,LN1000664,218820,Wedding Expenses,F,13.27,60,2022-01-15,592,2,13,1,30.13,0,0.3214,0,No Default
LN1000665,Devesh Pillai,JAJSX7895D,21,Male,Bhopal,Madhya Pradesh,Post-Graduate,Part-Time,48,402460,381607,Mortgaged,LN1000665,189691,Vehicle Purchase,E,14.08,36,2022-06-02,658,10,5,0,47.89,0,0.4713,0,No Default
LN1000666,Dev Mukherjee,HNQDK2930S,43,Male,Indore,Madhya Pradesh,Graduate,Unemployed,91,301040,327584,Company Provided,LN1000666,150624,Consumer Durables,E,15.66,12,2020-05-23,629,2,10,4,20.27,0,0.5003,0,No Default
LN1000667,Vijay Jadhav,TZJTF9698V,22,Male,Thane,Maharashtra,12th Pass,Unemployed,21,1201655,1405925,Company Provided,LN1000667,311617,Travel,B,10.48,24,2023-09-22,770,9,4,0,24.7,0,0.2593,0,No Default
LN1000668,Jyoti Pawar,OXZWE9335I,40,Female,Surat,Gujarat,12th Pass,Retired,7,264685,347995,Parental Home,LN1000668,474503,Personal Use,G,15.3,84,2021-11-07,437,10,9,2,40.77,0,1.7927,1,Default
LN1000669,Amit Sharma,IBNIP4497J,41,Male,Jodhpur,Rajasthan,Post-Graduate,Unemployed,19,451955,476830,Own,LN1000669,592355,WEDDING EXPENSES,C,12.36,48,2023-06-30,737,2,5,1,46.98,0,1.3107,0,No Default
LN1000670,Sachin Malhotra,CAYDR5251P,28,Male,Agra,Uttar Pradesh,12th Pass,Salaried,29,654340,583464,Mortgaged,LN1000670,428743,Home Renovation,C,13.55,60,2021-10-04,749,8,11,,51.81,2,0.6552,0,No Default
LN1000671,Aakash Shah,HUABH5034V,40,Male,Raipur,Chhattisgarh,Diploma,Government Employee,36,166241,162820,Parental Home,LN1000671,227297,Vehicle Purchase,G,18.44,72,2023-09-20,484,17,10,4,58.54,0,1.3673,1,Default
LN1000672,Dev Yadav,VBDWU5959W,37,Male,Vadodara,Gujarat,Graduate,Government Employee,34,590164,588374,Company Provided,LN1000672,468978,Vehicle Purchase,E,13.91,60,2024-10-02,622,17,12,3,33.99,0,0.7947,1,Default
LN1000673,Sandeep Sinha,HZFPC2438U,29,Male,Nashik,Maharashtra,10th Pass,Government Employee,37,234904,329999,Own,LN1000673,395141,Business Expansion,F,15.95,24,2020-09-12,620,4,12,2,52.9,2,1.6821,1,Default
LN1000674,Hemant Kapoor,KKXXX5148Z,24,Male,Kanpur,Uttar Pradesh,Post-Graduate,Government Employee,88,724813,756657,Own,LN1000674,697487,Agriculture,G,13.24,12,2024-01-14,537,18,2,1,29.87,0,0.9623,1,Default
LN1000675,Alka Bansal,PRFDO3056R,21,Female,Thane,Maharashtra,12th Pass,Unemployed,8,248304,282160,Company Provided,LN1000675,623968,  Wedding Expenses  ,F,12.94,72,2021-09-07,587,12,4,2,48.53,1,2.5129,1,Default
LN1000676,Yogesh Joshi,EUVCN6563L,38,Male,Kolkata,West Bengal,10th Pass,Salaried,,670421,820067,Parental Home,LN1000676,370027,Consumer Durables,F,12.4,84,2022-11-04,,17,13,0,38.11,0,0.5519,0,No Default
LN1000677,Mansi Goel,LKKAO9476J,21,Female,Ludhiana,Punjab,10th Pass,Government Employee,105,858979,1087835,Parental Home,LN1000677,193285,Agriculture,B,,48,2021-09-25,790,9,12,2,41.69,2,0.225,1,Default
LN1000678,Archana Srinivasan,UPJQX8081V,35,Female,Bhubaneswar,Odisha,Post-Graduate,Self-Employed,39,741820,809225,Company Provided,LN1000678,229334,Travel,C,13.57,72,2023-09-27,724,19,9,0,41.35,2,0.3092,1,Default
